Date,Open,High,Low,Close,Adj Close,Volume
2016-02-24,67.669998,67.669998,67.669998,67.669998,51.524643,0
2016-02-25,68.599998,68.599998,68.599998,68.599998,52.232750,0
2016-02-26,68.860001,68.860001,68.860001,68.860001,52.430721,0
2016-02-29,68.239998,68.239998,68.239998,68.239998,51.958641,0
2016-03-01,69.800003,69.800003,69.800003,69.800003,53.146446,0
2016-03-02,69.970001,69.970001,69.970001,69.970001,53.275883,0
2016-03-03,70.349998,70.349998,70.349998,70.349998,53.565216,0
2016-03-04,70.400002,70.400002,70.400002,70.400002,53.603291,0
2016-03-07,70.629997,70.629997,70.629997,70.629997,53.778416,0
2016-03-08,69.599998,69.599998,69.599998,69.599998,52.994160,0
2016-03-09,69.739998,69.739998,69.739998,69.739998,53.100761,0
2016-03-10,69.750000,69.750000,69.750000,69.750000,53.108376,0
2016-03-11,71.029999,71.029999,71.029999,71.029999,54.082981,0
2016-03-14,70.870003,70.870003,70.870003,70.870003,53.961155,0
2016-03-15,70.320000,70.320000,70.320000,70.320000,53.542377,0
2016-03-16,70.879997,70.879997,70.879997,70.879997,53.968769,0
2016-03-17,71.320000,71.320000,71.320000,71.320000,54.303791,0
2016-03-18,71.910004,71.910004,71.910004,71.910004,54.753021,0
2016-03-21,72.110001,72.110001,72.110001,72.110001,54.905300,0
2016-03-22,72.209999,72.209999,72.209999,72.209999,54.981441,0
2016-03-23,71.419998,71.419998,71.419998,71.419998,54.379929,0
2016-03-24,71.440002,71.440002,71.440002,71.440002,54.395161,0
2016-03-28,71.540001,71.540001,71.540001,71.540001,54.471302,0
2016-03-29,72.559998,72.559998,72.559998,72.559998,55.247936,0
2016-03-30,72.790001,72.790001,72.790001,72.790001,55.423065,0
2016-03-31,73.010002,73.010002,73.010002,73.010002,55.590576,0
2016-04-01,73.470001,73.470001,73.470001,73.470001,55.940823,0
2016-04-04,72.989998,72.989998,72.989998,72.989998,55.575344,0
2016-04-05,72.169998,72.169998,72.169998,72.169998,54.950981,0
2016-04-06,73.160004,73.160004,73.160004,73.160004,55.704792,0
2016-04-07,72.330002,72.330002,72.330002,72.330002,55.072815,0
2016-04-08,72.500000,72.500000,72.500000,72.500000,55.202251,0
2016-04-11,72.190002,72.190002,72.190002,72.190002,54.966213,0
2016-04-12,72.620003,72.620003,72.620003,72.620003,55.293625,0
2016-04-13,73.720001,73.720001,73.720001,73.720001,56.131176,0
2016-04-14,73.540001,73.540001,73.540001,73.540001,55.994125,0
2016-04-15,73.629997,73.629997,73.629997,73.629997,56.062649,0
2016-04-18,74.029999,74.029999,74.029999,74.029999,56.367210,0
2016-04-19,74.059998,74.059998,74.059998,74.059998,56.390049,0
2016-04-20,74.370003,74.370003,74.370003,74.370003,56.626091,0
2016-04-21,73.989998,73.989998,73.989998,73.989998,56.336750,0
2016-04-22,74.169998,74.169998,74.169998,74.169998,56.473804,0
2016-04-25,73.970001,73.970001,73.970001,73.970001,56.321526,0
